trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-139.09708921618642,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,9,-57.38841411055707,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-91.3575243913638,"{0: 23, 1: 1, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-40.028053520297846,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-105.31191680683492,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-131.47635075971635,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,8,-33.79604601763213,"{0: 9, 1: 0, 2: 1, 3: 2, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-71.31277655192913,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,10,-2.9984229274665095,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,5,-37.873829995668906,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,15,23.284842001886027,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,23.53518824604278,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-80.39828504231508,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,5,0.6584702875706678,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,18,7.644591511416306,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,4,-32.64807687178275,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,9.018126918342253,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-2.0349297200986456,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,16,-15.673230145579693,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-8.33347771774623,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,14,12.015322519830898,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",30,0,55.97497286393945,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,10,-3.9927091716457745,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,17,14.988748870767656,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,22,13.045202680397146,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,18,12.714754127913146,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",25,12,24.505029394455775,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,10,21.091483111267138,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,17,14.820854504407427,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,14,20.24658893175096,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
