trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9}",20,0,-108.02846745569475,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.81}",20,0,-150.01137892198867,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.7290000000000001}",20,0,-63.05354909482806,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.6561000000000001}",25,0,-32.76271017117007,"{0: 20, 1: 2, 2: 1, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.5904900000000002}",20,10,-47.54824831801593,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.5314410000000002}",25,0,-75.617451009611,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.47829690000000014}",20,0,-92.22937500273223,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.43046721000000016}",25,17,-0.07570051150904433,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.38742048900000015}",25,0,-6.209235991068368,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.34867844010000015}",20,0,-32.6336517614514,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.31381059609000017}",25,13,-1.3252960557677484,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.28242953648100017}",30,18,0.2940026537865146,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.25418658283290013}",25,13,11.43045473926312,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.22876792454961012}",25,8,19.29184095491992,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.2058911320946491}",35,9,20.410164648405544,"{0: 23, 1: 2, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.1853020188851842}",20,10,9.854370660916818,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.16677181699666577}",20,0,8.375093395773032,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.1500946352969992}",20,0,8.676908864983568,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.13508517176729928}",25,11,6.0987236102721205,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.12157665459056936}",20,16,7.424255117659246,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.10941898913151243}",25,0,-14.315111611872942,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.0984770902183612}",30,4,15.708954166965173,"{0: 24, 1: 0, 2: 1, 3: 1, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.08862938119652508}",25,15,20.700910945719667,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.07976644307687257}",20,0,26.407551420209767,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.07178979876918531}",30,0,28.519935171226738,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.06461081889226679}",25,8,28.46029991631817,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.05814973700304011}",25,11,-17.526544568060626,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.0523347633027361}",25,0,30.40786568293921,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.04710128697246249}",30,10,30.846895222061644,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.042391158275216244}",20,8,-0.03149499613147144,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.03815204244769462}",20,0,18.66949905397474,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.03433683820292516}",25,3,41.766170497644985,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.030903154382632643}",20,8,20.449958875306944,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.02781283894436938}",20,0,27.70041851272847,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.025031555049932444}",35,15,40.03794195020312,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.0225283995449392}",30,15,11.485561265470347,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.020275559590445278}",25,8,26.81538003936023,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.01824800363140075}",35,24,22.3762426664252,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.016423203268260675}",25,5,34.735227099974075,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.014780882941434608}",20,0,33.7346990358418,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.013302794647291147}",20,0,30.228047289201704,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.011972515182562033}",25,0,38.3655438883156,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.01077526366430583}",20,12,15.358197899624692,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.009697737297875247}",25,5,33.37097853137318,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.008727963568087723}",30,16,21.990803534056067,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.00785516721127895}",25,10,28.548501461690616,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.007069650490151055}",25,11,24.715799779296958,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.00636268544113595}",25,6,27.237779864224656,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.005726416897022355}",35,11,19.520082925682942,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.00515377520732012}",20,2,30.69725924201922,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.004638397686588107}",25,13,-20.63432528867009,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.0041745579179292966}",25,13,20.808909508929325,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.003757102126136367}",20,6,26.45681050325289,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
