trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-167.69519504278614,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.05706306869142,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-177.98080098040884,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-152.65592457939763,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.5854217871891,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,11,-25.323715417642113,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.07972533353659,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-16.79906792319563,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.46278158909332,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-160.11960015740243,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-264.35076085097035,"{0: 16, 1: 0, 2: 8, 3: 2, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.94042430706523,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.31691344527133,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,15,-44.88236537155245,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",35,13,-85.99199308123912,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-19.286126305434372,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.66901031026404,"{0: 16, 1: 3, 2: 2, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-202.9673366671422,"{0: 14, 1: 4, 2: 8, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-156.88202141613564,"{0: 17, 1: 3, 2: 6, 3: 3, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.94097582518853,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-50.28675630338931,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-111.75563331242249,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-108.3198208730183,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-41.24035555663454,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-190.57712525848146,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-95.12668322312489,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-86.52420124443658,"{0: 16, 1: 7, 2: 7, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-182.03986227585895,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-153.52729444331567,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-144.71493325101696,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
